Location,2018,2019,2020,2021
Papua New Guinea *,59,60.0,64.0,
Paraguay *,421,416.0,406.0,
Peru *,363,367.0,389.0,
Philippines *,126,142.0,165.0,194.0
Poland *,979,1014.0,1026.0,1183.0
Portugal *,2216,2222.0,2342.0,2720.0
Qatar *,2156,2208.0,2188.0,
South Korea *,2519,2595.0,2642.0,3031.0
Moldova *,276,284.0,307.0,
Romania *,687,739.0,810.0,
Russia *,609,654.0,774.0,
Rwanda *,52,51.0,57.0,
Saint Kitts and Nevis *,1103,1204.0,1105.0,
Saint Lucia *,513,514.0,608.0,
Saint Vincent and the Grenadines *,348,375.0,402.0,
Samoa *,198,239.0,202.0,
San Marino *,4115,3951.0,3938.0,
São Tomé and Príncipe *,115,105.0,107.0,
Saudi Arabia *,1291,,,
Senegal *,66,66.0,77.0,
Serbia *,617,641.0,672.0,
Seychelles *,792,787.0,727.0,
Sierra Leone *,43,45.0,43.0,
Singapore *,2642,2826.0,3537.0,
Slovakia *,1300,1342.0,1394.0,
Slovenia *,2170,2219.0,2417.0,2671.0
Solomon Islands *,92,104.0,99.0,
South Africa *,569,550.0,490.0,
South Sudan *,28,24.0,33.0,
Spain *,2741,2713.0,2901.0,
Sri Lanka *,159,142.0,151.0,
Sudan *,36,36.0,23.0,
Suriname *,450,593.0,460.0,
Sweden *,6005,5653.0,6028.0,6915.0
Switzerland *,9871,9667.0,10310.0,
Tajikistan *,60,62.0,70.0,
Thailand *,276,294.0,305.0,
East Timor *,79,79.0,121.0,
Togo *,53,49.0,53.0,
Tonga *,219,230.0,248.0,
Trinidad and Tobago *,1056,1072.0,1031.0,
Tunisia *,212,190.0,222.0,
Turkey *,388,397.0,395.0,
Turkmenistan *,457,489.0,484.0,
Tuvalu *,801,1034.0,1071.0,
Uganda *,33,33.0,34.0,
Ukraine *,221,247.0,270.0,
United Arab Emirates *,1915,1947.0,2192.0,
United Kingdom *,4228,4265.0,4927.0,5634.0
Tanzania *,41,40.0,39.0,
United States *,10285,10661.0,11702.0,
Uruguay *,1697,1677.0,1430.0,
Uzbekistan *,82,99.0,121.0,
Vanuatu *,102,102.0,114.0,
Venezuela *,165,113.0,142.0,
Vietnam *,164,174.0,166.0,
Zambia *,75,67.0,54.0,
Zimbabwe *,115,55.0,51.0,
