Country,Age (reduced)[a],Age (full)[b],Ref,Notes
Kuwait,7,,[35],
Kyrgyzstan,14,18,[74],
Laos,15,,[citation needed],
Lebanon,7,,[75],
Lesotho,10,,[50],
Liechtenstein,14,18/21,[citation needed],
Liberia,7,,[50],
Latvia,14,18,[citation needed],
Libya,14,18,[76],
Lithuania,14,16,[citation needed],
Luxembourg,18,,[77],
Madagascar,13,,[50],
Malawi,7,,[50],
Malaysia,10,,[78][79],"Notes Malaysia has a dual system of secular and Islamic law, which has resulted in a number of different minimum ages of responsibility depending on which branch of the law is applicable. Under the Penal Code, a person can be held criminally responsible from the age of 10. [Penal Code, Article 82. See also Child Act Article 2] Under the Syariah Criminal Offences (Federal Territories) Act 1997, Muslim children can be held criminally responsible from the onset of puberty. [Syariah Criminal Offences (Federal Territories) Act 1997, Articles 2 and 51] Offences under the Internal Security Act can be prosecuted regardless of age. [Essential (Security Cases) Regulations 1975, Article 3] (The act was repealed in 2012 and replaced with Security Offences (Special Measures) Act 2012)"
Maldives,15,18,[80],"Sharia law allows pubescent minors below 15 to be held responsible for certain severe crimes, as well as minors 15 and above without a rebuttal of presumption of incapacity."
Mali,13,,[50],
Mauritania,7,,[citation needed],
Mauritius,0,14,[50],There is no minimum age for criminal responsibility. Children below age 14 can only face incarceration if they are proven to have enough discernment between right and wrong.
Mexico,14,,[81],Incarceration starting at age 14. Other measures applied for ages 12–13.
Moldova,14,16/21,[citation needed],
Mongolia,14,16,[82],Children between 14 and 16 years old responsible only for certain severe crimes.
Montenegro,14,,[citation needed],
Morocco,12,,[50],
Mozambique,16,,[citation needed],
Myanmar,7,12,[35],
Nepal,10,,[35],
Netherlands,12/16-21,16-21/22,[37] [83],"From age 16, persons may be tried as adults or as children (""jeugdstrafrecht""). The maximum age for a person to be tried as a minor is 21."
New Zealand,10,14,[84][85][86],"Rebuttable presumption of incapacity until age 14. Children aged 10 and 11 can only be convicted of murder or manslaughter; children aged 12 and 13 can only be convicted of crimes with a maximum imprisonment of at least 14 years, but this may be increased circumstantially. See Youth justice in New Zealand."
Nicaragua,13,,[citation needed],
Namibia,7,12,[50],
Niger,13,,[50],
Nigeria,7,,[50],
North Korea,14,,[35],
North Macedonia,16,18,[citation needed],"Persons aged 14 to 16 years at the time they committed an offence, known as ""younger juveniles"" within the Criminal Code, can only be sentenced to educational measures"
Norway,15,18,[87],
Oman,9,,[35],
Pakistan,7,12,[35],There is a rebuttable presumption that a child aged between 7 and 12 years old is incapable of committing a crime.
Palau,10,,[citation needed],
Papua New Guinea,7,,[88],
Panama,12,,[citation needed],Lowered in 2010 from 14 to 12.
Paraguay,14,,[89],Minor offenders can be sentenced to a maximum of 8 years of imprisonment.
Peru,14,18,[45],"Notes 18 is the standard age of criminal liability in Peru. However, minors from 16–17 years old at the moment of the crime may be subject to 6 to 10 years in prison in case of homicide, femicide, extortion, vandalism, rape or being member of a criminal gang. Minors from 14–15 years at the moment of any of those same crimes may be subject to 4 to 8 years in prison."
Philippines,15,18,[90][91][92],"On 28 January 2019, the House of Representatives passed a bill proposing to lower the minimum age of criminal responsibility from 15 years to 12 years with a vote of 146–34.[93] As of 2020[94]"
Poland,13,17,[95],"Notes 17 is the standard age of criminal liability in Poland. Minors from the age of 15 can be tried as adults in relation to especially heinous crimes such as treason, assassination of Polish President, murder, homicide, serious bodily harm, causing a catastrophe, assault of a public servant, hostage-taking, rape and robbery, when ""the circumstances of the case and the mental state of development of the perpetrator, his characteristics and personal situation warrant it, and especially when previously applied educational, therapeutic or corrective measures have proved ineffective."" On the other hand, the Court may choose to apply juvenile measures for perpetrators above the age of 17 but below the age of 18, if ""the circumstances of the case and the mental state of development of the perpetrator, his characteristics and personal situation warrant it."" Juvenile correctional proceedings liability age is 13. Juvenile educational and therapeutic proceedings liability applies to all persons under the age of 18 (including persons below 13 years of age).[96] The maximum possible sentence that can be imposed on offenders taking criminal liability under 18 years of age is 25 years' imprisonment."
Portugal,16,18/21,[97],
Qatar,7,,[35],
Romania,16,18,[37],"A child aged 14 to 16 can only be held criminally liable where it can be proved that he or she had ""discernment""Notes For offences for which an adult would be sentenced to life imprisonment, a person between the ages of 14 and 18 would be sentenced to no more than 15 years of ""strict imprisonment"" For offences for which an adult would be sentenced to ""severe detention"" a person between the ages of 14 and 18 would be sentenced to no more than 12 years of ""strict imprisonment"""
Russia,14,16,[98],"Notes 16 by default, 14 years specifically for crimes as listed in Section 20 of the Criminal code, like murder, rape, robbery, extortion, kidnapping, motor vehicle theft, terror attack, stealing restricted substances like explosives or narcotics, aggravated anti-social behaviour, vandalism, false report of a terror attack."
Rwanda,14,,[citation needed],
San Marino,14,18/21,[99][100],
São Tomé and Príncipe,16,,[citation needed],
Saudi Arabia,12,,[35],
Senegal,13,,[citation needed],
Serbia,16,18,[101],"Persons aged 14 or 15 (""younger juveniles"") can only be sentenced to educational measures"
Seychelles,7,,[50],
Sierra Leone,14,,[citation needed],
Singapore,10,,[102][103],The Penal Code Review Committee proposed to increase the age to 10. Offenders between 16 and 21 are classed as Young Adults and may be considered for reformative training.
Slovakia,14,,[citation needed],
Slovenia,14,18/21,[37],
Solomon Islands,8,,[citation needed],
Somalia,14/15,,[50],"15 in Somaliland, 14 in the rest of the country."
South Africa,12,14,[104][105],"The age of criminal capacity was raised to 12 by the Child Justice Amendment Act, 2019. There is a rebuttable presumption that a child between the ages of 12 and 14 lacks criminal capacity."
South Korea,12,14,[35],
South Sudan,12,,[50],
Spain,18,21,[106][107][108],"Notes A person under the age of 18 can be sentenced to closed detention for a single offence if: (i) the facts establish that the person has committed a felony under the Penal Code or special penal laws; (ii) the relevant crime was classified as a misdemeanour, but involved violence or intimidation against persons or has generated serious risk to life or physical safety; or (iii) the acts are classified as crimes committed in groups, organisations or associations Persons aged 14 or 15 may be sentenced to a maximum of three years detention and persons aged 16 or 17 may not be sentenced to more than six years detention."
Sri Lanka,12,14,[35],Rebuttable presumption of incapacity until age 14.
Sudan,12,18,[109],
Swaziland,7,14,[50],
Sweden,15,18,[37],"Previously the full age was 21, was reduced down to 18 in 2021.[110]"
Switzerland,15,18,[37],"Children aged 15 years at the time an offence was committed cannot be sentenced to more than one year of detentionNotes A child aged 16 or over when an offence was committed may not be sentenced to more than four years in detention, and only where: (i) he or she committed an offence for which an adult could be sentenced to detention of more than three months; or (ii) he or she has committed an offence under Article 122 of the Criminal Code, related to intentionally inflicting a life-threatening injury; or (iii) he or she commits robbery as a member of a group formed for the purposes of carrying out repeated robberies or thefts under Article 140(3) of the Criminal Code; or (iv) the behaviour of the offender is such as to show particular ruthlessness or the behaviour or purpose of the act reveal a highly reprehensible state of mind"
Syria,10,,[35],
Taiwan,12/14,18,[111][112],"Minors between 12 and 14 cannot be trialed in criminal court, but could still be sentenced to juvenile probation or sent to correctional schools. Minors between 14 and 18 are subject to Criminal Code but qualify for reduction of sentence. Finally, the death penalty and life imprisonment cannot be sentenced to minor offenders."
Tajikistan,14,16,[113],
Tanzania,7,,[50],
Thailand,7,14,[35],
Timor-Leste,16,,[35],
Togo,14,,[50],
Turkey,12,,[37],
Turkmenistan,14,16,[35],
Tunisia,13,,[citation needed],
Uganda,12,,[50],
Ukraine,14,16,[37],
United Arab Emirates,7,,[35],
United Kingdom,10/12,12/15,[114][115][116][16][17][18],"10 in England, Wales, and Northern Ireland. Usually persons aged 10–11 will only be imprisoned in very serious cases, such as murder. Even more so the outcome for youth (12–17) criminal proceedings are usually age categorised (currently it will depend on whether the offender is under 12, under 14, under 16 or under 18, with the older the offender the more severity of punishment, especially for serious crimes). 12 in Scotland. Children under 12 cannot be convicted or get a criminal record; from 12 to 15, decision usually made by the Children's Reporter whether to refer to a children's hearing, which can lead to a criminal record, but could be prosecuted for a criminal offence if the offence is serious."
United States,varies by state[117],varies by state[117],[19],"At the federal level, the minimum age of juvenile delinquency is 11 years, while 28 states have no minimum age of delinquency. The standards for transferal of juveniles to adult courts varies by state and may combine statutory limits with prosecutorial and judicial discretion.[118]"
Uruguay,13,18,[119],
Uzbekistan,13,16,[35],"""Persons can be held criminally responsible for all offences committed after they have reached the age of 16, and for intentional killing from the age of 13, and for other specifically named offences from the age of 14. [Criminal Code, Article 17]"""
Vanuatu,10,,[citation needed],
Vietnam,14,16,[35],
Yemen,7,,[35],
Zambia,8,12,[50],
Zimbabwe,7,14,[50],
