Rank,Country,Total Fertility rate in 2023 (births/woman)
92,Dominican Republic,2.2
93 (3),Réunion (France),2.2
94,Venezuela,2.2
95,Western Sahara,2.2
96,Georgia,2.1
97,Indonesia,2.1
98,Kuwait,2.1
99,Lebanon,2.1
100,Myanmar (Burma),2.1
101,Peru,2.1
102 (4),U.S. Virgin Islands (US),2.1
,Population replacement,2.1
103,Belize,2.0
104,Ecuador,2.0
105,Grenada,2.0
106 (5),Guadeloupe (France),2.0
107,India,2.0
108,Nepal,2.0
109 (6),New Caledonia (France),2.0
110,Sri Lanka,2.0
111,Tunisia,2.0
112,Argentina,1.9
113,Bangladesh,1.9
114,Cape Verde,1.9
115 (7),Martinique (France),1.9
116,Turkey,1.9
117,Vietnam,1.9
118,Bahrain,1.8
119,El Salvador,1.8
120,France,1.8
121,Ireland,1.8
122,Malaysia,1.8
123,Mexico,1.8
124,Moldova,1.8
125,New Zealand,1.8
126,Qatar,1.8
127,North Korea,1.8
128,Saint Vincent and the Grenadines,1.8
129,Azerbaijan,1.7
130,Brunei,1.7
131,Colombia,1.7
132,Czech Republic,1.7
133,Denmark,1.7
134,Estonia,1.7
135 (8),French Polynesia (France),1.7
136,Iceland,1.7
137,Iran,1.7
138,Maldives,1.7
139,Montenegro,1.7
141,Sweden,1.7
142,United States,1.7
143,Antigua and Barbuda,1.6
144,Armenia,1.6
145,Australia,1.6
146,Barbados,1.6
147,Belgium,1.6
148,Brazil,1.6
149,Bulgaria,1.6
150 (9),Curaçao (Netherlands),1.6
151,Dominica,1.6
152,Hungary,1.6
153,Latvia,1.6
154,Lithuania,1.6
155,Netherlands,1.6
156,Sint Maarten (Netherlands) (Dutch part),1.6
157,Slovakia,1.6
158,Slovenia,1.6
159,Trinidad and Tobago,1.6
160,Turks and Caicos Islands,1.6
161,United Kingdom,1.6
162,Austria,1.5
163,Belarus,1.5
164,Canada,1.5
165,Chile,1.5
166,Costa Rica,1.5
167,Cuba,1.5
168,Germany,1.5
169,Norway,1.5
170,Poland,1.5
171,Russia,1.5
172,Saint Kitts and Nevis,1.5
173,Serbia,1.5
174,Switzerland,1.5
175,Uruguay,1.5
176,Albania,1.4
177,Bahamas,1.4
178,Bhutan,1.4
179,Croatia,1.4
180,Finland,1.4
181,Greece,1.4
182,Luxembourg,1.4
183,Mauritius,1.4
184,North Macedonia,1.4
185,Portugal,1.4
186,Saint Lucia,1.4
187,United Arab Emirates,1.4
188,Bosnia and Herzegovina,1.3
189,Cyprus,1.3
190,Italy,1.3
191,Jamaica,1.3
192,Japan,1.3
193 (10),Puerto Rico (US),1.3
194,Spain,1.3
195,Thailand,1.3
196,Ukraine,1.3
197 (11),Aruba (Netherlands),1.2
198,China,1.2
199,Malta,1.2
200 (12),Macau (China),1.2
201,San Marino,1.1
202,Singapore,1.0
203,South Korea,0.9
204 (13),Hong Kong (China),0.8
,Sovereign states: 193,
,Dependent territories: 13,
,World,2.3
,UNFPA Programme Regions,
1,West and Central Africa,4.8
2,East and Southern Africa,4.2
3,Arab States,3.1
4,Eastern Europe and Central Asia,2.1
5,Asia and the Pacific,1.9
6,Latin America and the Caribbean,1.8
,Development Situation,
1,Least Developed Regions,3.9
2,Less Developed Regions,2.4
3,More Developed Regions,1.5
,Not ranked (no data),
1 (1),American Samoa (US),-
2,Andorra,-
3 (2),Bermuda (UK),-
4 (3),British Virgin Islands (UK),-
5 (4),Cayman Islands (UK),-
6,Channel Islands - (5) Guernsey (UK) and (6) Jersey (UK),-
7 (5),Faroe Islands (Denmark),-
8 (6),Gibraltar (UK),-
9 (7),Greenland (Denmark),-
10 (8),Isle of Man (UK),-
11,Kosovo,-
12,Liechtenstein,-
13,Marshall Islands,-
14 (9),Mayotte (France),-
15,Monaco,-
16,Nauru,-
17 (10),Northern Mariana Islands (US),-
18,Palau,-
19 (11),Saint Martin (France) (French part),-
20,Vatican City,-
,Sovereign states: 9,
,Dependent territories: 10,
