Countries,Core population,Core population,Core population,Connected population,Connected population,Connected population,Enlarged population,Enlarged population,Enlarged population,Eligible population,Eligible population,Eligible population,National official
Poland,4500,,120,7000,,187,10000,,267,13000,,347,"2,488 [46](2011)"
Greece,4100,,380,5200,,482,6000,,556,7000,,649,—
Czech Republic,3900,,370,5000,,474,6500,,617,8000,,759,"1,427 [47](2021)"
Portugal,3100,,300,3500,,339,4000,,387,5000,,484,"3,061 [36](2011)"
China[e],3000,,2,3200,,2,3400,,2,3600,,3,—
Uzbekistan,2900,,90,6000,,186,8000,,248,10000,,310,"94,689 [48](1989)"
Ireland,2700,,550,3600,,733,5000,,1019,6500,,1324,"1,921 [49](2016)"
Slovakia,2600,,480,3600,,665,4600,,849,6000,,1108,601 [50](2019)
Kazakhstan,2500,,140,4800,,269,6500,,364,9500,,532,"5,281 [36](2009)"
Costa Rica,2500,,490,2800,,549,3100,,608,3400,,666,—
Lithuania,2400,,860,4700,,1684,7500,,2688,10500,,3763,"1,229 [36](2011)"
Colombia,2100,,40,2800,,53,3500,,67,4500,,86,—
Morocco,2100,,60,2500,,71,2800,,80,3100,,89,—
Bulgaria,2000,,290,4000,,580,6000,,870,8000,,1160,"1,162 [51](2011)"
Moldova,1900,,540,3800,,1080,7500,,2132,10000,,2842,"1,601 [36](2014)"
Estonia,1900,,1430,2700,,2032,3500,,2634,4500,,3387,"1,921 [52](2019)"
Peru,1900,,60,2400,,76,3000,,95,3500,,111,—
Croatia,1700,,420,2400,,593,3100,,766,3800,,939,536 [36](2011)
Georgia,1500,,380,3000,,760,5000,,1267,7500,,1900,"1,417 [36](2014)"
Puerto Rico,1500,,490,2000,,653,2500,,817,3000,,980,—
Serbia,1400,,200,2100,,300,2800,,400,3500,,500,578 [36](2011)
Finland,1300,,240,1600,,295,1900,,351,2200,,406,"1,093 [53](2017)"
Norway,1300,,240,1600,,295,2000,,369,2500,,462,761 [54](2021)
Tunisia,1000,,90,1200,,108,1400,,126,1600,,144,—
Japan,1000,,10,1200,,12,1400,,14,1600,,16,—
Paraguay,1100,,150,1300,,177,1600,,218,1900,,259,"1,100 [36](2002)"
Guatemala,900,,50,1200,,67,1500,,83,1800,,100,—
Singapore,900,,160,1000,,178,1200,,213,1400,,249,—
Ecuador,600,,30,800,,40,1000,,50,1200,,60,—
Gibraltar,800,,22860,900,,25718,1000,,28575,1100,,31433,763 [36](2012)
Luxembourg,700,,1130,900,,1453,1100,,1776,1300,,2099,—
Bolivia,500,,40,700,,56,900,,72,1100,,88,—
Bosnia and Herzegovina,500,,140,800,,224,1100,,308,1400,,392,262 [55](2013)
Cuba,500,,40,1000,,80,1500,,120,2000,,160,—
U.S. Virgin Islands,500,,3810,600,,5715,700,,6668,800,,7620,—
Kyrgyzstan,400,,60,700,,105,1000,,150,1500,,225,455 [56](2018)
Nicaragua,250,,36,250,,36,250,,36,250,,36,181 [57](2017)
Bahamas,200,,510,500,,1275,700,,1785,900,,2295,191 [36](2010)
Kenya,300,,10,500,,17,700,,23,900,,30,—
Netherlands Antilles,400,,1250,500,,1563,700,,2188,900,,2813,—
Jamaica,500,,180,300,,108,400,,144,500,,180,506 [36](2011)
Suriname,200,,330,400,,660,600,,990,800,,1320,181 [58](2012)
Thailand,200,,3,300,,4,400,,6,500,,7,—
Turkmenistan,200,,30,400,,60,600,,90,800,,120,"1,537 [59](1995)"
Zimbabwe,200,,10,400,,20,600,,30,800,,40,—
Armenia,100,,30,300,,90,500,,150,700,,210,127 [60](2011)
Bermuda,100,,1540,200,,3080,300,,4620,400,,6160,135 [36](2010)
Botswana,100,,40,200,,80,300,,120,400,,160,—
DR Congo,100,,1,200,,2,300,,3,400,,4,—
Cyprus,500,,240,400,,320,500,,400,600,,480,—
Barbados,100,,350,200,,700,300,,1050,400,,1400,103 [36](2011)
Dominican Republic,100,,10,200,,20,300,,30,400,,40,—
Egypt,100,,1,200,,2,300,,3,400,,4,—
El Salvador,100,,20,200,,40,300,,60,400,,80,—
Ethiopia,100,,1,500,,4,1000,,8,2500,,20,—
Indonesia,100,,0,200,,1,300,,1,400,,1,—
Malta,500,,200,200,,400,300,,600,400,,800,—
Namibia,100,,40,200,,80,300,,120,400,,160,—
Nigeria,100,,0,200,,1,300,,1,400,,2,—
North Macedonia,100,,50,200,,100,300,,150,400,,200,66 [61](2021)
Madagascar,100,,3,200,,7,300,,10,400,,14,—
Philippines,100,,1,200,,2,300,,3,400,,3,—
Slovenia,100,,50,200,,100,300,,150,400,,200,99 [36](2001)
South Korea,100,,2,200,,4,300,,6,400,,8,—
Syria[f],100,,5,200,,9,300,,14,400,,18,—
Taiwan,100,,4,200,,8,300,,13,400,,17,—
Uganda,—,—,—,—,—,—,—,—,—,—,—,—,"7,189 [62](2014)"
Aruba,—,—,—,—,—,—,—,—,—,—,—,—,354 [36](2018)
Mauritius,—,—,—,—,—,—,—,—,—,—,—,—,43 [36](2018)
Tajikistan,—,—,—,—,—,—,—,—,—,—,—,—,38 [41][63](2020)
Anguilla,—,—,—,—,—,—,—,—,—,—,—,—,16 [36](2018)
Faroe Islands,—,—,—,—,—,—,—,—,—,—,—,—,12 [64](2020)
Iceland,—,—,—,—,—,—,—,—,—,—,—,—,55 [65](2020)
Montenegro,—,—,—,—,—,—,—,—,—,—,—,—,12 [36](2018)
British Virgin Islands,—,—,—,—,—,—,—,—,—,—,—,—,11 [36](2018)
Liechtenstein,—,—,—,—,—,—,—,—,—,—,—,—,26 [66](2020)
Falkland Islands,—,—,—,—,—,—,—,—,—,—,—,—,1 [36](2018)
World,16200000,100,1920,18030900,100,2341,21005700,100,2727,23809100,100,3091,—
