Rank,Country,Number of scientific publications (2020),Scientific publications per capita (per million)
127.0,Bolivia,454,38.0
128.0,Mauritius,451,356.0
129.0,Democratic Republic of the Congo,439,5.0
130.0,Trinidad and Tobago,437,320.0
131.0,Madagascar,413,15.0
132.0,Paraguay,407,55.0
133.0,Guatemala,403,24.0
134.0,Republic of the Congo,386,68.0
135.0,Dominican Republic,346,33.0
136.0,Honduras,345,37.0
137.0,Mali,325,16.0
138.0,Tajikistan,324,34.0
139.0,Laos,305,42.0
140.0,Afghanistan,286,9.0
141.0,Grenada,250,2212.0
142.0,North Korea,237,9.0
143.0,Monaco,232,6050.0
143.0,Papua New Guinea,232,25.0
145.0,Gambia,230,92.0
146.0,Togo,220,28.0
147.0,Sierra Leone,211,25.0
148.0,Niger,204,8.0
149.0,Bhutan,200,265.0
150.0,Gabon,189,85.0
151.0,New Caledonia,185,676.0
151.0,French Polynesia,168,600.0
153.0,Barbados,156,542.0
154.0,Eswatini,147,125.0
155.0,Angola,146,5.0
156.0,Nicaragua,141,21.0
157.0,Guinea,138,11.0
158.0,French Guiana,130,442.0
159.0,Haiti,127,11.0
160.0,Liechtenstein,125,3193.0
161.0,Saint Kitts and Nevis,121,2241.0
162.0,Greenland,116,2048.0
163.0,Burundi,115,9.0
164.0,Seychelles,111,1119.0
165.0,El Salvador,107,16.0
166.0,Lesotho,99,46.0
167.0,Somalia,92,6.0
168.0,Maldives,91,238.0
169.0,Mauritania,86,20.0
169.0,Bahamas,86,219.0
171.0,Bermuda,78,1218.0
172.0,Guam,76,494.0
173.0,Guadeloupe,75,187.0
174.0,Faroe Islands,74,1378.0
175.0,Eritrea,72,20.0
176.0,Samoa,70,350.0
177.0,Central African Republic,69,12.0
177.0,Liberia,69,15.0
179.0,Guyana,68,91.0
180.0,Cape Verde,67,119.0
181.0,Chad,66,4.0
182.0,Solomon Islands,62,85.0
183.0,Suriname,60,100.0
184.0,Martinique,58,155.0
185.0,Guinea-Bissau,57,35.0
185.0,Réunion,57,66.0
187.0,Vanuatu,52,173.0
188.0,San Marino,50,1484.0
189.0,Belize,49,114.0
190.0,Timor-Leste,41,31.0
191.0,South Sudan,40,3.0
192.0,Andorra,36,453.0
193.0,Djibouti,35,36.0
194.0,Saint Vincent and the Grenadines,31,280.0
195.0,Federated States of Micronesia,30,284.0
195.0,Tonga,30,301.0
197.0,Cayman Islands,27,410.0
198.0,Antigua and Barbuda,23,232.0
199.0,Aruba,22,198.0
200.0,Dominica,21,292.0
200.0,Palau,21,1169.0
202.0,Falkland Islands,20,5000.0
203.0,Comoros,18,24.0
204.0,Kiribati,17,141.0
205.0,Turkmenistan,15,2.0
206.0,Equatorial Guinea,14,9.0
206.0,Saint Lucia,14,78.0
206.0,American Samoa,14,282.0
209.0,Mayotte,13,43.0
209.0,United States Virgin Islands,13,149.0
209.0,Anguilla,13,867.0
212.0,Gibraltar,12,353.0
213.0,Northern Mariana Islands,11,232.0
213.0,Turks and Caicos Islands,11,247.0
215.0,São Tomé and Príncipe,9,42.0
216.0,Cook Islands,8,521.0
217.0,Marshall Islands,7,128.0
218.0,British Virgin Islands,6,200.0
219.0,Vatican City,5,6061.0
220.0,"Saint Helena, Ascension and Tristan da Cunha",4,667.0
220.0,Montserrat,4,800.0
222.0,Wallis and Futuna,3,264.0
222.0,British Indian Ocean Territory,3,1000.0
222.0,Nauru,3,254.0
222.0,Svalbard and Jan Mayen,3,1021.0
226.0,Tuvalu,2,187.0
227.0,Saint Pierre and Miquelon,1,167.0
227.0,Tokelau,1,666.0
227.0,French Southern and Antarctic Lands,1,2500.0
,World,4236262,
