Rank,Country,Total Fertility rate in 2021 (births/woman)
123,Moldova,1.81
124,Malaysia,1.80
125,El Salvador,1.80
126,Qatar,1.80
127 (7),Greenland (Denmark),1.80
128,Romania,1.80
129,Saint Vincent and the Grenadines,1.80
130,Brunei,1.78
131,Montenegro,1.75
132,Ireland,1.72
133,Denmark,1.72
134,Colombia,1.72
135,Australia,1.70
136 (8),French Polynesia (France),1.70
137,Iran,1.69
138,Maldives,1.69
139,Sweden,1.67
140 (9),Turks and Caicos Islands (UK),1.67
141,United States,1.66
142,Brazil,1.64
143,Slovakia,1.64
144,New Zealand,1.64
145,Slovenia,1.64
146,Barbados,1.63
147,Trinidad and Tobago,1.63
148,Netherlands,1.62
149,Croatia,1.62
150,Estonia,1.61
151,North Macedonia,1.60
152,Belgium,1.60
153,Dominica,1.59
154,Hungary,1.59
155 10,Sint Maarten (Netherlands) (Dutch part),1.58
156,Antigua and Barbuda,1.58
157,Germany,1.58
158,Bulgaria,1.58
159,Armenia,1.57
160,Latvia,1.57
161 (11),Isle of Man (UK),1.56
162,United Kingdom,1.56
163,Norway,1.55
164,Chile,1.54
165,Costa Rica,1.53
166,Saint Kitts and Nevis,1.53
167,Liechtenstein,1.53
168,Kosovo,1.52
169,Switzerland,1.52
170,Azerbaijan,1.52
171,Uruguay,1.49
172,Russia,1.49
173,Belarus,1.48
174,Austria,1.48
175,Serbia,1.48
176,United Arab Emirates,1.46
177,Finland,1.46
178,Channel Islands - (12) Guernsey (UK) and (13) Jersey (UK),1.46
179,Cuba,1.44
180,Canada,1.43
181,Bhutan,1.41
182,Mauritius,1.41
183,Saint Lucia,1.40
184,Albania,1.39
185,Greece,1.39
186,Bahamas,1.39
187 (14),Curaçao (Netherlands),1.38
188,Portugal,1.38
189,Luxembourg,1.38
190,Jamaica,1.35
191,Bosnia and Herzegovina,1.35
192,Lithuania,1.34
193,Thailand,1.33
194,Poland,1.33
195,Cyprus,1.32
196,Japan,1.30
197 (15),Bermuda (UK),1.30
198,Italy,1.25
199,Spain,1.19
200 (16),Aruba (Netherlands),1.18
201,China,1.16
202,Ukraine,1.16
203,Malta,1.14
204,Singapore,1.12
205 (17),Macau (China),1.09
206 (18),British Virgin Islands (UK),1.00
207 (19),Puerto Rico (US),0.91
208,South Korea,0.81
209 (20),Hong Kong (China),0.77
,Sovereign states: 190,
,Dependent territories: 20,
,World,2.27
,Major regions,
1,Sub-Saharan Africa (excluding high income),4.6
2,Sub-Saharan Africa,4.6
3,Arab world,3.1
4,Middle East and North Africa (excluding high income),2.7
5,Middle East and North Africa,2.6
6,South Asia,2.2
7,Latin America and Caribbean,1.9
8,Latin America and Caribbean (excluding high income),1.9
9,Europe and Central Asia (excluding high income),1.9
10,Europe and Central Asia,1.7
11,East Asia and Pacific (excluding high income),1.5
12,East Asia and Pacific,1.5
13,North America,1.6
14,Central Europe and the Baltics,1.6
,States’ size,
1,Pacific Island small states,3.2
2,Other small states,2.9
3,Small states,2.7
4,Caribbean small states,1.7
,International organizations,
1,OECD members,1.6
2,European Union,1.5
,Security situation,
1,Fragile and conflict affected situations,4.4
,Economic areas,
1,Euro area,1.5
,Economic situation,
1,Heavily indebted poor countries (HIPC),4.6
2,Least developed countries: UN classification,4.0
,Income,
1,Low income countries,4.6
2,Lower middle income countries,2.6
3,Low and middle income countries,2.4
4,Middle income countries,2.1
5,Upper middle income countries,1.6
6,High income countries,1.5
,Not ranked (no data or data from other years),
1,American Samoa (US),-
2,Andorra,1.3 (2010)
3,Cayman Islands (UK),-
4,Monaco,
5,Nauru,-
6,Northern Mariana Islands (US),-
7,Palau,0.85 (2020)
8,San Marino,1.3 (2012)
9,Vatican City,-
10,Western Sahara,-
