Country,Youth (15 to 24),Youth (15 to 24),Adult (25+),Adult (25+),Elderly (65+),Elderly (65+),Youth Gender Parity Index,Youth Gender Parity Index
Lebanon *,99.2,2009.0,91.2,2009.0,60.2,2009.0,1.0,2009.0
Lesotho *,86.6,2014.0,76.6,2014.0,51.4,2014.0,1.2,2014.0
Liberia *,49.1,2007.0,42.9,2007.0,32.8,2007.0,0.6,2007.0
Libya *,99.6,2004.0,86.1,2004.0,24.2,2004.0,1.0,2004.0
Liechtenstein *,,,,,,,,
Lithuania *,99.9,2011.0,99.8,2011.0,99.8,2011.0,1.0,2011.0
Luxembourg *,,,,,,,,
Madagascar *,76.8,2012.0,71.6,2012.0,49.4,2012.0,1.0,2012.0
Malawi *,72.9,2015.0,62.1,2015.0,35.1,2015.0,1.0,2015.0
Malaysia *,98.2,2001.0,89.5,2001.0,47.1,2001.0,1.0,2001.0
Maldives *,99.3,2014.0,98.6,2014.0,92.8,2014.0,1.0,2014.0
Mali *,49.4,2015.0,33.1,2015.0,13.6,2015.0,0.6,2015.0
Malta *,98.9,2011.0,93.3,2011.0,85.8,2011.0,1.0,2011.0
Marshall Islands *,98.5,2011.0,98.3,2011.0,89.4,2011.0,1.0,2011.0
Martinique,99.8,2014.0,96.9,2014.0,88.1,2014.0,1.0,2014.0
Mauritania *,56.1,2007.0,45.5,2007.0,26.6,2007.0,0.7,2007.0
Mauritius *,98.1,2011.0,93.2,2016.0,64.6,2011.0,1.0,2011.0
Mayotte,,,,,,,,
Mexico *,99.1,2016.0,94.9,2016.0,78.9,2016.0,1.0,2016.0
Micronesia *,,,,,,,,
Monaco *,,,,,,,,
Mongolia *,98.5,2010.0,98.3,2010.0,94.6,2010.0,1.0,2010.0
Montenegro *,99.2,2011.0,98.4,2011.0,93.9,2011.0,1.0,2011.0
Montserrat *,,,,,,,,
Morocco *,97.7[8],2018.0,73.8[8],2018.0,34.1[8],2018.0,0.99[9],2018.0
Mozambique *,70.5,2015.0,56.0,2015.0,26.0,2015.0,0.8,2015.0
Myanmar *,84.8,2016.0,75.6,2016.0,58.2,2016.0,1.0,2016.0
Namibia *,94.4,2011.0,88.3,2011.0,56.7,2011.0,1.0,2011.0
Nauru *,,,,,,,,
Nepal *,84.8,2011.0,68,2018.0,20.8,2011.0,0.9,2011.0
Netherlands *,,,,,,,,
New Caledonia,99.2,2014.0,97.8,2014.0,90.6,2014.0,1.0,2014.0
New Zealand *,,,,,,,,
Nicaragua *,87.0,2005.0,78.0,2005.0,49.2,2005.0,1.0,2005.0
Niger *,39.8,2012.0,30.6,2012.0,13.7,2012.0,0.7,2012.0
Nigeria *,66.4,2008.0,51.1,2008.0,21.6,2008.0,0.8,2008.0
Niue *,,,,,,,,
North Macedonia *,98.7,2002.0,96.1,2002.0,82.5,2002.0,1.0,2002.0
Northern Mariana Islands *,,,,,,,,
Norway *,,,,,,,,
Oman *,98.7,2017.0,96.1,2017.0,41.9,2016.0,1.0,2017.0
Pakistan *,74.5,2017.0,59.1,2017.0,27.1,2017.0,0.83,2017.0
Palau *,98.7,2015.0,96.6,2015.0,84.7,2015.0,1.0,2015.0
Palestine *,99.4,2016.0,96.9,2016.0,63.9,2016.0,1.0,2016.0
Panama *,97.6,2010.0,94.1,2010.0,80.9,2010.0,1.0,2010.0
Papua New Guinea *,67.9,2010.0,61.6,2010.0,33.0,2010.0,1.1,2010.0
Paraguay *,98.5,2016.0,94.7,2016.0,77.8,2016.0,1.0,2016.0
Peru *,98.9,2016.0,94.1,2017.0,77.7,2016.0,1.0,2016.0
Philippines *,98.1,2013.0,96.4,2013.0,90.1,2013.0,1.0,2013.0
Pitcairn Islands,,,,,,,,
Poland *,99.8,2008.0,98.7,2008.0,93.0,2008.0,1.0,2008.0
Portugal *,99.4,2011.0,94.5,2011.0,80.5,2011.0,1.0,2011.0
Puerto Rico *,98.8,2010.0,92.4,2017.0,84.5,2010.0,1.0,2010.0
Qatar *,95.9,2004.0,89.0,2004.0,41.0,2004.0,1.0,2004.0
Moldova *,99.5,2012.0,99.1,2012.0,95.8,2012.0,1.0,2012.0
Romania *,99.0,2011.0,98.6,2011.0,96.8,2011.0,1.0,2011.0
Russia *,99.7,2010.0,99.7,2010.0,99.2,2010.0,1.0,2010.0
Rwanda *,85.1,2014.0,70.8,2014.0,24.3,2014.0,1.0,2014.0
Réunion,95.7,1982.0,78.6,1982.0,42.0,1982.0,1.0,1982.0
Saint Helena *,,,96.0,1998.0,,,,
Saint Kitts and Nevis *,,,,,,,,
Saint Lucia *,,,,,,,,
Saint Pierre and Miquelon,99.5,1982.0,99.3,1982.0,98.5,1982.0,1.0,1982.0
Saint Martin,,,,,,,,
Samoa *,99.2,2011.0,99.0,2011.0,96.3,2011.0,1.0,2011.0
San Marino,,,,,,,,
São Tomé and Príncipe *,96.7,2012.0,90.1,2012.0,49.6,2012.0,1.0,2012.0
Saudi Arabia *,99.2,2013.0,94.4,2013.0,51.4,2013.0,1.0,2013.0
Senegal *,69.5,2017.0,51.9,2017.0,21.5,2013.0,0.8,2017.0
Serbia *,99.7,2016.0,98.8,2016.0,96.6,2016.0,1.0,2016.0
Seychelles,99.0,2010.0,94.0,2010.0,71.5,2010.0,1.0,2010.0
Sierra Leone *,57.0,2013.0,32.4,2013.0,3.7,2013.0,0.8,2013.0
Singapore *,99.9,2016.0,97.0,2016.0,84.0,2015.0,1.0,2016.0
Sint Maarten,,,,,,,,
Slovakia *,,,,,,,,
Slovenia *,99.8,2014.0,99.7,2014.0,99.3,2014.0,1.0,2014.0
Solomon Islands *,,,76.6,1999.0,,,,
Somalia *,,,,,,,,
South Africa *,99.0,2015.0,94.4,2015.0,72.1,2015.0,1.0,2015.0
South Sudan *,36.7,2008.0,26.8,2008.0,11.0,2008.0,0.7,2008.0
Spain *,99.6,2016.0,98.3,2016.0,94.7,2016.0,1.0,2016.0
Sri Lanka *,98.9,2017.0,91.9,2017.0,81.0,2016.0,1.0,2017.0
Saint Vincent and the Grenadines *,98.0,1970.0,95.6,1970.0,91.0,1970.0,1.0,1970.0
Sudan *,65.8,2008.0,53.5,2008.0,24.3,2008.0,0.9,2008.0
Suriname *,97.7,2012.0,92.9,2012.0,76.0,2012.0,1.0,2012.0
Svalbard and Jan Mayen,,,,,,,,
Sweden *,,,,,,,,
Switzerland *,,,,,,,,
Syria *,92.5,2004.0,80.8,2004.0,39.0,2004.0,1.0,2004.0
Tajikistan *,99.9,2014.0,99.8,2014.0,98.1,2014.0,1.0,2014.0
Tanzania *,85.8,2015.0,77.9,2015.0,43.5,2015.0,1.0,2015.0
Thailand *,98.1,2015.0,92.9,2015.0,78.7,2015.0,1.0,2015.0
East Timor *,79.5,2010.0,58.3,2010.0,11.2,2010.0,1.0,2010.0
Togo *,84.3,2015.0,63.7,2015.0,20.4,2015.0,0.9,2015.0
Tokelau *,,,,,,,,
Tonga *,99.4,2011.0,99.4,2011.0,98.9,2011.0,1.0,2011.0
Trinidad and Tobago *,99.3,1990.0,96.9,1990.0,82.8,1990.0,1.0,1990.0
Tunisia *,96.2,2014.0,79.0,2014.0,39.8,2014.0,1.0,2014.0
Turkey *,99.6,2016.0,96.2,2016.0,88.1,2016.0,1.0,2016.0
Turkmenistan *,99.8,2014.0,99.7,2014.0,97.6,2014.0,1.0,2014.0
Turks and Caicos Islands,,,,,,,,
Tuvalu *,,,,,,,,
Uganda *,83.7,2012.0,70.2,2012.0,36.1,2012.0,1.0,2012.0
Ukraine *,100.0,2012.0,100.0,2012.0,100.0,2012.0,1.0,2012.0
United Arab Emirates *,95.0,2005.0,90.0,2005.0,42.1,2005.0,1.0,2005.0
United Kingdom *,,,,,,,,
United States *,,,,,,,,
U.S. Virgin Islands *,,,,,,,,
Uruguay *,98.9,2017.0,98.6,2017.0,97.1,2016.0,1.0,2017.0
Uzbekistan *,100.0,2016.0,100.0,2016.0,99.8,2016.0,1.0,2016.0
Vanuatu *,95.3,2014.0,84.7,2014.0,44.2,2014.0,1.0,2014.0
Venezuela *,98.8,2016.0,97.1,2016.0,88.1,2016.0,1.0,2016.0
Vietnam *,97.1,2009.0,95.8,2019.0,76.9,2009.0,1.0,2009.0
Wallis and Futuna,,,,,,,,
Western Sahara,,,,,,,,
Yemen *,77.0,2004.0,54.1,2004.0,13.7,2004.0,0.7,2004.0
Zambia *,88.7,2010.0,83.0,2010.0,52.3,2010.0,0.9,2010.0
Zimbabwe *,90.4,2014.0,88.7,2014.0,81.1,2014.0,1.1,2014.0
