Country/Region,Total Population,Muslim Population,Muslim percentage of total population,Percentage of world (%),Sources
Chad,15833116,9183207,58,0.4,[97][94]
Chile,17925262,4000,< 0.1,< 0.1,[98][99]
China,1390000000,"6,255,000–50,000,000",0.45–3,0.4 – 2.8,[100][101][102][103][104]
Cocos (Keeling) Islands,596,"< 1,000",80,< 0.1,[105][106]
Colombia,48168996,96337,0.2,< 0.1,[107][108]
Comoros,821164,807204,98.3,< 0.1,[109]
DR Congo,85281024,12792153,10,0.1,[110][111]
Cook Islands,9038,"< 1,000",< 0.1,< 0.1,[112]
Costa Rica,4987142,"< 1,000",< 0.1,< 0.1,[113]
Ivory Coast,26260582,11265789,42.9,0.5,[114]
Croatia,4270480,64057,1.5,< 0.1,[115]
Cuba,11116396,11116,0.1,< 0.1,[116]
Cyprus,1100000,275000,25.3,< 0.1,[117]
Czech Republic,10686269,"10,000–20,000",0.1–0.2,< 0.1,[118][68]
Denmark,5809502,313713,5.4,< 0.1,[119][68]
Djibouti,884017,857496,97,0.1,[120][121]
Dominica,74027,"< 1,000",0.2,< 0.1,[122]
Dominican Republic,10298756,2000,< 0.1,< 0.1,[123][124]
Ecuador,16498502,"< 1,000",< 0.1,< 0.1,[125][126]
Egypt,95000000,"85,000,000–90,000,000",90–94.7,4.9,[127][128]
El Salvador,6187271,18000,0.28,< 0.1,[129][130][131]
Equatorial Guinea,797457,79745,10,< 0.1,[132][133]
Eritrea,6000000,"2,160,000–3,100,000",36–51.6,0.1,[134][135][136]
Estonia,1244288,1508,< 0.1,< 0.1,[137]
Eswatini,300000,6000,2,< 0.1,[138]
Ethiopia,110871031,34702632,31.3,1.8,[139]
Faroe Islands,51018,"< 1,000",< 0.1,< 0.1,[140]
Falkland Islands,3198,"< 1,000",< 0.1,< 0.1,[141]
Micronesia,103643,"< 1,000",< 0.1,< 0.1,[142]
Fiji,926276,58355,6.3,< 0.1,[143]
Finland,5537364,102000,1.8,< 0.1,[144][68]
France,67000000,5720000,8.8,0.3,[68]
French Guiana,281612,2400,0.9,< 0.1,
French Polynesia,290373,"< 1,000",< 0.1,< 0.1,[145]
Gabon,2119036,211903,10,< 0.1,[146][147]
Gambia,2413403,2283080,96.4,0.1,[148]
Georgia,4926087,527091,10.7,< 0.1,[149]
Germany,83100000,"4,300,000–4,600,000",5.4–5.7,0.2,[39][150][151]
Ghana,32372889,6442205,19.9,0.2,[152][94][153]
Gibraltar,29461,1150,4,< 0.1,[154][155]
Greece,10761523,"215,230–313,406",2–3.7,< 0.1,[156][68]
Greenland,57691,"< 1,000",< 0.1,< 0.1,[157]
Grenada,112207,"< 1,000",0.3,< 0.1,[158]
Guadeloupe,402119,2000,0.4,< 0.1,
Guam,167772,"< 1,000",< 0.1,< 0.1,[159]
Guatemala,16581273,1200,< 0.1,< 0.1,[160][161]
Guinea,11855411,10563171,89.1,0.5,[162]
Guinea-Bissau,1976187,911023,46.1,< 0.1,[163]
Guyana,740685,55000,7.3,< 0.1,[164]
Haiti,10788440,5000,< 0.1,< 0.1,[165][166]
Honduras,9182766,30000,0.3,< 0.1,[167]
Hong Kong,7213338,295746,4.1,< 0.1,[168][169]
Hungary,9825704,"40,000–60,000",0.4–0.6,< 0.1,[68][170][171]
Iceland,343518,"< 1,000",0.2,< 0.1,[172][173]
India,1370000000,200000000,14.6,10.9,[174]
Indonesia,266534836,231069932,86.7,12.7,[175]
Iran,83000000,82500000,99.4,4.6,[176]
Iraq,40462701,"38,439,566–39,653,447",95-98,1.9,[177]
Ireland,5068050,70952,1.4,< 0.1,[178][68]
Isle of Man,89407,"< 1,000",0.2,< 0.1,[179]
Israel,8424904,1516482,18,0.1,[180][181]
Italy,62246674,2987840,4.8,0.1,[182][68]
Jamaica,2812090,5624,0.2,< 0.1,[183][184]
Japan,126000000,185000,0.1,< 0.1,[185][186]
Jordan,10458413,10165577,97.2,0.4,[187]
Kazakhstan,18744548,13158672,70.2,0.5,[188]
Kenya,48397527,5500000,11.2,0.2,[189]
Kiribati,109367,"< 1,000",< 0.1,< 0.1,[190]
Kosovo,1907592,1823657,95.6,0.1,[191]
Kuwait,2916467,2175684,74.6,0.2,[192]
Kyrgyzstan,6500000,"5,200,000–5,850,000",80–90,0.3,[193][194]
Laos,7234171,1000,< 0.1,< 0.1,[195][196]
Latvia,1923559,2000,0.1–0.2,< 0.1,[197][198]
Lebanon,5261372,3567211,67.8,0.2,[199]
Lesotho,1962461,3000,0.1,< 0.1,[200]
Liberia,4809768,961953,20,< 0.1,[201][202]
Libya,6754507,6551871,97,0.4,[203][204]
Liechtenstein,38000,2050,5.4,< 0.1,[205]
Lithuania,2793284,3000,0.1,< 0.1,[206][207]
Luxembourg,640000,15000,2.3,< 0.1,[208][209]
Macau,606340,"< 1,000",0.1,< 0.1,[210][211]
Madagascar,25683610,2568361,10,< 0.1,[212][213]
Malawi,19842560,3968512,20,0.1,[214][215]
Malaysia,32730000,20063500,63.5,1.1,[216][217]
Maldives,374775,374775,98.4,< 0.1,[218]
Mali,18429893,17508398,95,0.8,[219][94]
Malta,449043,11675,2.6,< 0.1,[220][221]
Marshall Islands,75684,"< 1,000",< 0.1,< 0.1,[222]
Martinique,385551,"< 1,000",0.2,< 0.1,
Mauritania,4161925,4157425,99.9,0.2,[223][224]
Mauritius,1364283,236020,17.3,< 0.1,[225]
Mayotte,256518,253439,97,< 0.1,[226]
Mexico,127000000,5500,0.01,< 0.01,[227][228]
Moldova,3437720,15000,0.4,< 0.1,[229][230]
Monaco,30727,"< 1,000",0.8,< 0.1,[231][232]
Mongolia,3103428,150000,5,< 0.1,[233][234]
Montenegro,614249,122849,19.1,< 0.1,[235]
Montserrat,5315,"< 1,000",0.1,< 0.1,[236]
Morocco,36738229,36370847,99,4.1,[237]
Mozambique,30888034,5837839,18.9,0.3,[238][239]
Myanmar,55622506,2391767,4.3,0.1,[240]
Namibia,2413643,9654,0.4,< 0.1,
Nauru,10084,"< 1,000",< 0.1,< 0.1,
Nepal,29218867,1292909,4.2,0.1,[241]
Netherlands,17400000,387000,5,0.1,[242]
Netherlands Antilles,304759,"< 1,000",0.2,< 0.1,
New Caledonia,278500,7000,2.8,< 0.1,
New Zealand,4903800,41000,0.9,< 0.1,
Nicaragua,6284757,1000,< 0.1,< 0.1,
Niger,21466863,21101926,98.3,1,[243]
Nigeria,200000000,"95,000,000–97,000,000",47-49,5.3,[39][244]
Niue,1611,"< 1,000",< 0.1,< 0.1,
North Korea,25610672,3000,0.1,< 0.1,
North Macedonia,2118945,705608,33.3,< 0.1,[245]
Northern Mariana Islands,56200,"< 1,000",0.7,< 0.1,
Norway,5328212,175507,3.2,< 0.1,[246]
Oman,4633752,2427000,86,0.2,[247]
Pakistan,249600000,240760000,96.5,11.1,[248][249]
Palau,17900,"< 1,000",< 0.1,< 0.1,
Palestine,4780978,4298000,97.5,0.3,
Panama,4158783,25000,0.7,< 0.1,
Papua New Guinea,8558800,2000,< 0.1,< 0.1,
Paraguay,7052983,1000,< 0.1,< 0.1,
Peru,31237385,"< 1,000",< 0.1,< 0.1,
Philippines,109000000,"5,450,000–12,000,000",5–11,0.3 - 0.6,[250][251]
Poland,38430000,6796,0.02,< 0.1,[252]
Portugal,10291027,65000,0.4,< 0.1,
Puerto Rico,3337177,1000,< 0.1,< 0.1,
Qatar,2450285,1566786,77.5,0.1,[253]
Congo,5399895,107997,2,< 0.1,[254]
Réunion,865826,36364,4.2,< 0.1,[255]
Romania,19524000,"73,000–200,000",0.3–1.0,< 0.1,[256]
Russia,"144,350,000–146,750,000","14,000,000–16,000,000",10–12,1.7 [A],[257][258]
Rwanda,12001136,576054,4.8,< 0.1,[259]
Saint Helena,4534,"< 1,000",< 0.1,< 0.1,
Saint Kitts and Nevis,46204,"< 1,000",0.3,< 0.1,
Saint Lucia,178844,"< 1,000",< 0.1,< 0.1,
Saint Pierre and Miquelon,6286,"< 1,000",0.2,< 0.1,
Saint Vincent and the Grenadines,109557,2000,1.7,< 0.1,
Samoa,199052,"< 1,000",< 0.1,< 0.1,
San Marino,33344,"< 1,000",< 0.1,< 0.1,
São Tomé and Príncipe,199910,5931,3,< 0.1,[260]
Saudi Arabia,34220000,31535000,96.2,1.8,
Senegal,17923036,17421191,97.2,0.8,[261]
Serbia,7001444,121460,2.1,< 0.1,[262]
Seychelles,94205,1036,1.1,< 0.1,[263]
Sierra Leone,7719729,6067706,78.6,0.3,[264]
Singapore,5866139,915118,15.6,< 0.1,[265][266]
Slovakia,5443120,10866,0.1–0.2,< 0.1,[68]
Slovenia,2066880,73568,3.6,< 0.1,[68]
Solomon Islands,667044,"< 1,000",< 0.1,< 0.1,
Somalia,11000000,10978000,99.8,0.6,[267]
South Africa,57725600,1050000,1.9,< 0.1,[268][269]
South Korea,51635256,75000,0.1,< 0.1,[48]
South Sudan,12323419,2464683,20,< 0.1,[270]
Spain,46659302,1180000,2.6,0.1,[68]
Sri Lanka,21700000,2105000,9.7,0.1,[271]
Sudan,40825770,38585777,96,1.9,[272]
Suriname,600000,85800,14.3,< 0.1,[273]
Sweden,10182291,700000,7.1,< 0.1,[39][68]
Switzerland,8492956,440000,5.2,< 0.1,[274]
Syria,18000000,15000000,86,1,[275][276]
Taiwan,23576705,60000,0.3,< 0.1,[277][278]
Tajikistan,9540000,9253000,97.9,0.4,[279][280][281]
Tanzania,54199163,19426814,35.2,0.8,[282]
Thailand,70000000,3640000,5.4,0.2,[283][284]
East Timor,1261407,1000,0.1,< 0.1,
Togo,7352000,1593011,20,0.1,[285]
Tokelau,1499,"< 1,000",< 0.1,< 0.1,
Tonga,100651,"< 1,000",< 0.1,< 0.1,
Trinidad and Tobago,1356633,78000,5.8,< 0.1,
Tunisia,11446300,10190000,97.8,0.6,
Turkey,86000000,"78,000,000 - 84,400,000",89-98,4.6,[286][287]
Turkmenistan,6031187,5610000,93.7,0.3,
Turks and Caicos Islands,37910,"< 1,000",< 0.1,< 0.1,
Tuvalu,10640,"< 1,000",0.1,< 0.1,
Uganda,38823100,5435234,14,0.3,[288]
Ukraine,42263873,"390,000–410,000",0.9–1.2,< 0.1,[289][290]
United Arab Emirates,9541615,6251627,72,0.2,[291][292]
United Kingdom,66040229,2130000,3.3,0.2,[68]
United States,327827000,3450000,1.1,0.2,[293]
U.S. Virgin Islands,104914,"< 1,000",0.1,< 0.1,
Uruguay,3505985,"< 1,000",< 0.1,< 0.1,
Uzbekistan,34036800,29920000,88.7,1.7,[294]
Vanuatu,304500,"< 1,000",< 0.1,< 0.1,
Vatican City,800,0,0,0,
Venezuela,31304016,125216,0.4,< 0.1,[295]
Vietnam,96160163,96160,0.1,< 0.1,[296]
Wallis and Futuna,15714,"< 1,000",< 0.1,< 0.1,[297]
Western Sahara,603253,599633,99.4,< 0.1,[298][299]
Yemen,27036829,26784498,97.2,1.5,[300][301]
Zambia,16887720,168877,1,< 0.1,[94]
Zimbabwe,14000000,100000,0.7,< 0.1,[302]
