Country/Region,Per capita US dollars,External debt US dollars,% of GDP,% of total wealth[1],Date
Mauritania,840.0,3.59 billion,76.0,59.83,31 December 2016 est.[36]
Libya,550.0,3.53 billion,9.0,8.02,31 December 2016 est.[37]
Botswana,720.0,3.5 billion,8.0,12.96,2023[2]
Burkina Faso,160.0,3.09 billion,26.0,19.31,31 December 2016 est.[38]
Somalia,270.0,3.05 billion,52.0,,31 December 2013 est.[39]
Niger,130.0,2.73 billion,36.0,21.0,31 December 2016 est.[40]
Seychelles,26200.0,2.55 billion,180.0,63.75,31 December 2016 est.[41]
Rwanda,200.0,2.44 billion,29.0,8.71,31 December 2016 est.[42]
Bermuda (UK),39700.0,2.44 billion,47.0,,2015 est.[43]
Benin,200.0,2.34 billion,26.0,15.6,31 December 2016 est.[44]
Bhutan,2900.0,2.26 billion,108.0,,31 December 2016 est.[45]
Haiti,180.0,2.02 billion,24.0,40.4,31 December 2016 est.[46]
Malawi,100.0,1.92 billion,39.0,8.73,31 December 2016 est.[47]
South Sudan,167.0,1.92 billion,62.7,,2017[48]
Chad,130.0,1.88 billion,18.0,18.8,31 December 2016 est.[49]
Cape Verde,3100.0,1.66 billion,99.0,,31 December 2016 est.[50]
Sierra Leone,230.0,1.56 billion,36.0,39.0,31 December 2016 est.[51]
Palestine,340.0,1.54 billion,35.0,,December 2018[4]
Equatorial Guinea,1500.0,1.36 billion,12.0,6.8,31 December 2016 est.[52]
Djibouti,1500.0,1.34 billion,71.0,67.0,31 December 2016 est.[53]
Guinea,100.0,1.33 billion,20.0,7.39,31 December 2016 est.[42]
Belize,3500.0,1.33 billion,75.0,44.33,31 December 2016 est.[52]
Afghanistan,40.0,1.28 billion,7.0,3.12,2011[54]
Suriname,2200.0,1.24 billion,30.0,62.0,31 December 2016 est.[55]
Togo,150.0,1.17 billion,26.0,19.5,31 December 2016 est.[56]
Guyana,1500.0,1.14 billion,36.0,19.0,31 December 2015[57]
Andorra,14345.0,1.11 billion,41.0,,2014 est.[58]
Liberia,230.0,1.11 billion,51.0,7.93,31 December 2016 est.[59]
Guinea-Bissau,570.0,1.1 billion,94.0,55.0,31 December 2010 est.[60]
Lesotho,430.0,949 million,53.0,47.45,31 December 2016 est.[61]
Faroe Islands (Denmark),18400.0,889 million,38.0,,2010[62]
Fiji,900.0,833 million,18.0,6.94,31 December 2016 est.[63]
Eritrea,150.0,820 million,15.0,16.4,31 December 2016 est.[64]
Maldives,2000.0,742 million,23.0,7.42,2014 est.[65]
Burundi,60.0,705 million,26.0,17.63,31 December 2016 est.[66]
Aruba,6600.0,693 million,28.0,,31 December 2014 est.[67]
Central African Republic,130.0,687 million,39.0,34.35,31 December 2016 est.[68]
Kuwait,140.0,685 million,0.42,0.12,July 2023[2]
Grenada,6300.0,679 million,66.0,,2013 est.[69]
Gambia,260.0,542 million,61.0,18.07,31 December 2016 est.[70]
Saint Lucia,2700.0,513 million,36.0,,31 December 2016 est.[71]
Turkmenistan,90.0,503 million,1.0,0.64,31 December 2016 est.[72]
Solomon Islands,800.0,492 million,40.0,,31 December 2013 est.[73]
Eswatini,360.0,471 million,14.0,,31 December 2016 est.[74]
Samoa,2300.0,447 million,51.0,,31 December 2013 est.[75]
Antigua and Barbuda,4700.0,441 million,34.0,,31 December 2012[76]
San Marino,10604.0,352 million,23.0,,2016[77]
Brunei,27200.0,340 million,2.8,2.83,2017[78]
Saint Vincent and the Grenadines,2900.0,321 million,42.0,,31 December 2016 est.[79]
Timor-Leste,250.0,312 million,12.0,7.8,31 December 2014 est.[80]
Dominica,3900.0,289 million,55.0,,31 December 2016 est.[81]
Cook Islands,13400.0,281 million,23.0,,31 December 2011[82]
Sao Tome and Principe,1200.0,237 million,67.0,,31 December 2016 est.[83]
Tonga,2200.0,233 million,54.0,,31 December 2016 est.[84]
Vanuatu,750.0,208 million,27.0,,31 December 2016 est.[85]
Saint Kitts and Nevis,3300.0,188 million,20.0,,31 December 2016 est.[86]
Comoros,160.0,133 million,21.0,6.65,31 December 2016 est.[87]
New Caledonia (France),420.0,112 million,1.0,,31 December 2013 est.[88]
Marshall Islands,1800.0,98 million,52.0,,2013 est.[89]
Micronesia,900.0,93.6 million,29.0,,2013 est.[90]
Cayman Islands (UK),2100.0,79 million,7.0,,1998 est.
Kenya,370.0,69.9 million,26.0,0.02,May 2023[2]
Greenland (Denmark),650.0,36.4 million,2.0,,2010[91]
Nauru,3200.0,33.3 million,22.0,,2004 est.[92]
British Virgin Islands (UK),570.0,17.7 million,2.0,,31 December 2016[93]
Tuvalu,1224.0,14.8 million,37.0,,2017 est.[94]
Kiribati,120.0,13.6 million,8.0,,2013 est.[95]
Anguilla (UK),590.0,8.8 million,5.0,,1998[96]
Wallis and Futuna (France),280.0,3.67 million,6.0,,2004[97]
Montserrat (UK),200.0,1.04 million,2.0,,31 December 2011[98]
Liechtenstein,0.0,0.00,0.0,,2001[99]
Niue (New Zealand),0.0,0.00,0.0,,27 October 2016[100]
