Rank,Country,Fertility rate in 1970 (births/woman)
124 (36),Guadeloupe (French Colonial Empire → French Overseas Department),4.9
125 (37),Réunion (French Colonial Empire → French Overseas Department),4.8
126 (38),French Guiana (French Colonial Empire → French Overseas Department),4.7
,World,4.7
127 (39),Azerbaijan SSR ( Soviet Union → Azerbaijan),4.6
128 (40),Martinique (French Colonial Empire → French Overseas Department,4.6
129 (41),Grenada (British Empire → Grenada),4.6
130,Fiji,4.5
131,South Korea,4.5
132 (42),Guam (US),4.4
133,North Korea,4.3
134,Sri Lanka,4.3
135,Chile,4.0
136,Cuba,4.0
137,Ireland,3.9
138,Republic of China (Taiwan),3.9
139,Israel,3.8
140,Mauritius,3.8
141 (43),Antigua and Barbuda (British Empire → Antigua and Barbuda),3.7
142,Trinidad and Tobago,3.6
143 (44),Bahamas (British Empire → Bahamas),3.5
144 (45),Kazakh SSR ( Soviet Union → Kazakhstan),3.5
145 (46),Curaçao (Dutch Empire → Dutch Caribbean),3.3
146 (47),Hong Kong (British Hong Kong → China),3.3
147 (48),Puerto Rico (US),3.2
148,New Zealand,3.2
149 (49),Armenian SSR ( Soviet Union → Armenia),3.2
150,Singapore,3.2
151,Argentina,3.1
152,Barbados,3.1
153 (50),SR Macedonia ( Yugoslavia → North Macedonia),3.0
154,Portugal,3.0
155,Australia,2.9
156,Spain,2.9
157,Uruguay,2.9
158,Romania,2.9
159,Iceland,2.8
160 (51),Montenegro ( Yugoslavia → Montenegro),2.7
161 (52),Bosnia and Herzegovina ( Yugoslavia → Bosnia and Herzegovina),2.7
162,Netherlands,2.6
163 (53),Moldavian SSR ( Soviet Union → Moldova),2.6
164 (54),Georgian SSR ( Soviet Union → Georgia),2.6
165,Norway,2.5
166,Cyprus,2.5
167,United States,2.5
168,France,2.5
169,United Kingdom,2.4
170 (55),Slovak Socialist Republic,2.4
171 (56),Lithuanian SSR ( Soviet Union → Lithuania),2.4
172 (57),SR Serbia ( Yugoslavia → Serbia),2.4
173,Italy,2.4
174,Greece,2.4
175 (58),Byelorussian SSR ( Soviet Union → Belarus),2.3
176,Poland,2.3
177,Austria,2.3
178,Belgium,2.3
179,San Marino,2.2
180 (59),SR Slovenia ( Yugoslavia → Slovenia),2.2
181 (60),Macau (Portuguese Macau → China),2.2
182 (61),Estonian SSR ( Soviet Union → Estonia),2.2
183,Bulgaria,2.2
184,Canada,2.2
185,Germany ( West Germany and East Germany → Germany),2.1
186 (62),Ukrainian SSR ( Soviet Union -> Ukraine),2.1
187,Channel Islands - (63) Guernsey and (64) Jersey (UK),2.1
188,Switzerland,2.1
189,Japan,2.1
,Population replacement,2.1
190 (65),Latvian SSR ( Soviet Union → Latvia),2.0
191,Denmark,2.0
192,Malta,2.0
193 (66),Russian SFSR ( Soviet Union → Russia),2.0
194,Luxembourg,2.0
195,Hungary,2.0
196 (67),Czech Socialist Republic 1.9,
197,Sweden,1.9
198 (68),SR Croatia ( Yugoslavia → Croatia),1.8
199 (69),Finland,1.8
,Sovereign states: 130,
,Dependent territories: 69,
,Not ranked (no data or data from other years),
1,Andorra,-
2,Czechoslovakia (dissolved in 1992),-
3 (1),Dominica (British Empire → Dominica),-
4 (2),Ellice Islands (British Empire - Ellice Islands → Tuvalu),-
5 (3),SAP Kosovo ( Yugoslavia → Serbia and Montenegro → Serbia → Kosovo),-
6,Liechtenstein,-
7 (4),Marshall Islands (Trust Territory of the Pacific Islands → Marshall Islands),-
8,Monaco,-
9,Nauru,-
10 (5),Palau (Trust Territory of the Pacific Islands → Palau),-
11 (6),Saint Kitts and Nevis (British Empire → Saint Kitts and Nevis),-
12,Soviet Union (dissolved in 1991),-
13,Vatican City,-
14,Yugoslavia (dissolved in 1992),-
,Sovereign states: 8,
,Dependent territories: 6,
