Rank,Country,Fertility rate in 1960 (births/woman)
125 (54),"Gambia (British Empire, Gambia Colony and Protectorate → Gambia)",5.57
126,Sri Lanka,5.54
127 (55),Kirghiz SSR ( Soviet Union → Kyrgyzstan),5.47
128 (56),"Jamaica (British Empire, Colony of Jamaica → Jamaica)",5.42
129 (57),"Trinidad and Tobago (British Empire, West Indies Federation → Trinidad and Tobago)",5.26
130,Chile,5.10
131,"Hong Kong (British Empire, Hong Kong colony → China, Special administrative regions of China)",5.01
,World,4.99
132 (58),Aruba (Netherlands),4.82
133 (59),Armenian SSR ( Soviet Union → Armenia ),4.79
134 (60),"Macau (Portuguese Empire, Portuguese Macau → China, Special administrative regions of China)",4.77
135 (61),Puerto Rico (US),4.66
136,North Korea,4.58
137 (62),Kazakh SSR ( Soviet Union → Kazakhstan),4.56
138 (63),Bahamas (British Empire → Bahamas),4.50
139 (64),Antigua and Barbuda (British Empire → Antigua and Barbuda),4.42
140,Gabon,4.38
141 (65),Barbados (British Empire → Barbados),4.33
142,Iceland,4.29
143,Cuba,4.18
144,New Zealand,4.03
145,Israel,3.87
146 (66),SR Macedonia ( Yugoslavia → North Macedonia),3.84
147,Canada,3.81
148 (67),Bosnia and Herzegovina ( Yugoslavia → Bosnia and Herzegovina),3.80
149,Ireland,3.78
150,United States,3.65
151 (68),Malta (British Empire → Malta),3.62
152 (69),Montenegro ( Yugoslavia → Montenegro),3.60
153,Cyprus,3.50
154,Australia,3.45
155 (70),Moldavian SSR ( Soviet Union → Moldova),3.33
156,Portugal,3.16
157,Netherlands,3.12
158,Argentina,3.11
159 (71),Slovak Socialist Republic,3.04
160,Poland,2.98
161 (72),Georgian SSR ( Soviet Union → Georgia),2.94
162,Uruguay,2.88
163,Spain,2.86
164,France,2.85
165,Norway,2.85
166,Finland,2.72
167,Austria,2.69
168,United Kingdom,2.69
169 (73),Byelorussian SSR ( Soviet Union → Belarus),2.67
170,Denmark,2.57
171 (74),Lithuanian SSR ( Soviet Union → Lithuania),2.56
172,Belgium,2.54
173 (75),Russian SFSR ( Soviet Union → Russia),2.52
174,Switzerland,2.44
175,Channel Islands - Guernsey (UK) and Jersey (UK),2.42
176,Italy,2.40
177,Germany ( West Germany and East Germany → Germany),2.37
178 (76),SR Slovenia ( Yugoslavia → Slovenia),2.34
179,Romania,2.34
180,Greece,2.33
181,Bulgaria,2.31
182 (77),SR Croatia ( Yugoslavia → Croatia),2.29
183,Luxembourg,2.29
184 (78),Ukrainian SSR ( Soviet Union → Ukraine),2.24
185,Sweden,2.17
,Population replacement,2.10
186 (79),Czech Socialist Republic,2.09
187,Hungary,2.02
188,Japan,2.00
189 (80),Estonian SSR ( Soviet Union → Estonia),1.98
190 (81),Latvian SSR ( Soviet Union → Latvia),1.94
,Sovereign states: 109,
,Dependent territories: 81,
,World,
,World,4.99
,Major regions,
1,Arab World,6.95
2,Middle East and North Africa (excluding high income),6.94
3,Middle East and North Africa,6.88
4,Pacific island small states,6.77
5,Sub-Saharan Africa (excluding high income),6.64
6,Sub-Saharan Africa,6.64
7,South Asia,6.05
8,Latin America and Caribbean (excluding high income),6.02
9,Latin America and Caribbean,5.93
10,East Asia and Pacific (excluding high income),5.82
11,East Asia and Pacific,5.39
12,North America,3.67
13,Europe and Central Asia (excluding high income),3.13
14,Europe and Central Asia,2.83
15,Central Europe and the Baltics,2.50
,States’ Size,
1,Caribbean small states,5.60
2,Small states,5.31
3,Other small states,5.06
,International Organizations,
,OECD members,3.23
,Security Situation,
,Fragile and conflict affected situations,6.59
,Economic Situation,
1,Heavily indebted poor countries (HIPC),6.75
2,Least developed countries: UN classification,6.68
,Economic Income,
1,Low income,6.52
2,Lower middle income,5.93
3,Low and middle income,5.66
4,Middle income,5.59
5,Upper middle income,5.31
6,High income,3.04
,Not ranked (no data or data from other years),
1 (1),American Samoa (US),-
2,Andorra,-
3 (2),Bermuda (UK),-
4 (3),Cayman Islands (UK),-
5 (4),Curaçao (Netherlands),-
6,Czechoslovakia (Dissolved in 1992),-
7 (5),Dominica (British Colonial Empire → Dominica),-
8 (6),Faroe Islands (Denmark),-
9 (7),French Guiana (French Colonial Empire → France),-
10 (8),Gibraltar (UK),-
11 (9),Greenland (Denmark),-
12 (10),Guadeloupe (French Colonial Empire → France),-
13 (11),Isle of Man (UK),-
14 (12),SAP Kosovo ( Yugoslavia → Serbia and Montenegro → Serbia → Kosovo),-
15,Liechtenstein,-
16 (13),Marshall Islands (Trust Territory of the Pacific Islands → Marshall Islands),-
17 (14),Mayotte (French Colonial Empire → France),-
18,Monaco,-
19,Nauru,-
20 (15),Northern Mariana Islands (US),-
21 (16),Palau (Trust Territory of the Pacific Islands → Palau),-
22 (17),"Palestine (Jordan, West Bank and Egypt, Gaza Strip → Israeli occupied territories → Palestinian territories)",-
23,San Marino,-
24 (18),SR Serbia ( Yugoslavia → Serbia and Montenegro → Serbia),-
25 (19),"Seychelles (British Colonial Empire, Crown colony → Seychelles)",-
26 (20),Saint Martin (French part),-
27 (21),Sint Maarten (Dutch part),-
28 (22),Saint Kitts and Nevis (British Colonial Empire → Saint Kitts and Nevis),-
29,Soviet Union (dissolved in 1991),-
30 (23),Turks and Caicos Islands (British Colonial Empire → UK),-
31 (24),"Tuvalu (British Empire, Gilbert and Ellice Islands → Ellice Islands → Tuvalu)",-
32,Vatican City,-
33,Yugoslavia (dissolved in 1992),-
,Sovereign states: 9,
,Dependent territories: 24,
