Rank,Country,Fertility rate in 2022 (births/woman)
185,Luxembourg,1.4
186,North Macedonia,1.4
187,Saint Lucia,1.4
188,Barbados,1.3
189,Costa Rica,1.3
190,Portugal,1.3
191,Albania,1.3
192,Cyprus,1.3
193,Greece,1.3
194,Poland,1.3
195,Italy,1.3
196,Japan,1.3
197,Spain,1.2
198,China (mainland only),1.2
199,Bosnia and Herzegovina,1.1
200,Malta,1.1
201,Singapore,1.1
202,San Marino,1.0
203,Ukraine,1.0
204,Andorra,1.0
205,Republic of China (Taiwan),1.0
206 (13),Puerto Rico (US),0.9
207 (12),Hong Kong (China),0.8
208 (14),Macau (China),0.8
209,South Korea,0.8
,Sovereign States: 195,
,Dependent Territories: 14,
,World,
1,World,2.3
,Continents,
1,Africa,4.3
2,Oceania,2.1
3.2,Asia,1.9
4,Americas,1.8
5,Europe,1.5
,Continental Major Regions,
1,Africa,4.3
1.1,Sub-Saharan Africa,4.6
1.1.2,Middle Africa,5.6
1.1.3,Western Africa,4.9
1.1.4,Eastern Africa,4.3
1.1.5,Southern Africa,2.4
1.2,Northern Africa,2.8
2,Oceania,2.1
3,Asia,1.9
3.1,Central Asia,3.0
3.2,Western Asia,2.5
3.3,South Asia,2.2
3.4,Southeast Asia,2.2
3.5,East Asia,1.3
4,Americas,1.8
4.1,Latin America and the Caribbean,1.9
4.1.1,Caribbean,2.0
4.1.2,Central America,1.9
4.1.3,South America,1.8
4.2,Northern America,1.6
5,Europe,1.5
5.1,Western Europe,1.6
5.2,Northern Europe,1.6
5.3,Eastern Europe,1.4
5.4,Southern Europe,1.3
,Development Level,
1,Least Developed,4.0
2,Less Developed,2.4
3,More Developed,1.5
,Income,
1,Low Income,4.6
2,Middle Income,2.1
2.1,- Lower Middle Income,2.6
2.2,- Upper Middle Income,1.5
3,High Income,1.5
,Not Ranked,
1 (1),Christmas Island (Australia),-
2 (2),Cocos (Keeling) Islands (Australia),-
3 (3),Falkland Islands (UK),-
4 (4),Faroe Islands (Denmark),-
5,Niue,-
6 (5),Norfolk Island (Australia),-
7 (6),Pitcairn Islands (UK),-
8 (7),Svalbard (Norway),-
9 (8),Tokelau (New Zealand),-
10,Vatican City,-
,Sovereign States: 2,
,Dependent Territories: 8,
